cue,gender,education,prompt,responses
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, books, IQ tests, college, smart people; brain, genius, technology, science, puzzles; knowledge, learning, reading, math, professor; IQ, chess, logic, debate, computer; school, education, grades, university, teacher; problem-solving, critical thinking, innovation, coding, intelligence agency; library, study, intelligence quotient, scholarship, academic; history, linguistics, psychology, philosophy, neuroscience; smartwatch, artificial intelligence, research, discoveries, inventions; Mensa, trivia, quantum physics, analytics, strategy games"
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, IQ, tests, book smart; brains, genius, knowledge, reading, wisdom; Stephen Hawking, clever, education, high scores, mental; intellectuals, problem-solving, savvy, learning, school; success, nerd, thinking, comprehension, understanding; technology, innovation, creativity, insight, logic; mastery, scholars, expertise, intelligence agencies, cunning; bright, understanding, aptitude, scholarships, analysis; competition, strategy, apt brain, achievements, curiosity; observation, quick-witted, informed, puzzles, street-smart"
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Smart people, school, tests, Albert Einstein, AI; books, college, genius, IQ, brain; learning, professors, technology, scientists, grades; knowledge, puzzles, chess, education, logic; wisdom, analysis, problem-solving, innovation, creativity; data, computer programming, research, memory, math; intelligence agencies, spies, codes, cybersecurity, hacking; language skills, chess, reading, writing, debates; history, philosophy, psychology, neuroscience, mathematics; critical thinking, strategy, analytics, curiosity, inventions."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Smart, Brain, Einstein, Science, IQ; Genius, Mensa, University, Knowledge, Books; Problem solving, Chess, Mathematics, Technology, Inventions; Stephen Hawking, Albert Einstein, Bill Gates, Neil deGrasse Tyson, Steve Jobs; IQ tests, Education, Grades, Diploma, Scholarships; Logic, Analysis, Creativity, Innovation, Strategy; School, College, Professor, Study, Exam; Intelligent design, Artificial Intelligence, Computer, Robot, Coding; Detective, Sherlock Holmes, Puzzles, Mystery, Observation; Elon Musk, Intelligence Agency, Secrets, Spies, Hacking."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, books, math, science, IQ; smart, genius, chess, exams, college; brains, innovation, technology, coding, robots; academics, knowledge, philosophy, history, literature; intelligence tests, Mensa, scholarships, degrees, professors; problem-solving, puzzles, logic, strategy, analysis; curiosity, learning, education, reading, studying; artificial intelligence, computers, internet, software, data; wisdom, understanding, insights, critical thinking, reasoning; inventiveness, creativity, breakthroughs, discoveries, inventions."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Smart, Genius, IQ, Brain, Knowledge; Einstein, Books, College, Scientist, Technology; Grades, Test, Albert Einstein, Stephen Hawking, University; Clever, Quick thinker, Innovator, Inventions, Logic; Brain games, Chess, Scholar, Professor, Study; Mathematics, Physics, Coding, Space, Intelligence agency; Research, Analysis, High IQ society, Education, Thinker; Strategy, Problem-solving, Intellect, Reading, Information; Gadgets, Artificial Intelligence, NASA, Neuroscience, Experiment; Wisdom, Learning, Insight, Understanding, Perception."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, science, smart people, math, high IQ; brain, genius, technology, computers, chess; problem-solving, learning, reading, college, knowledge; IQ tests, experiments, NASA, physics, innovation; books, education, professors, tech companies, coding; debates, analytics, strategy games, intelligence agencies, linguistics; scholarships, intelligence tests, logical reasoning, discoveries, inventions; history, space exploration, artificial intelligence, quantum computing, neuroscience; critical thinking, wisdom, documentaries, scholarly articles, Mensa; puzzles, intelligence quotient, research, engineers, philosophers."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, smart, computers, exams, genius; brains, IQ tests, books, university, chess; problem-solving, tech, innovators, scientists, mathematics; intellect, theory, logic puzzles, coding, SpaceX; knowledge, learning, Stephen Hawking, artificial intelligence, research; reading, education, Tesla, curiosity, debate; Mensa, philosophy, encryption, Silicon Valley, data; history, literature, astrophysics, analytics, linguistics; strategy games, invention, engineering, robotics, algorithms; wisdom, critical thinking, discovery, neuroscience, quantum physics."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Einstein, IQ tests, math, college, chess; books, smart glasses, scientists, computers, trivia; genius, Albert Einstein, high IQ, technology, university; knowledge, study, reading, professor, inventions; problem-solving, logic games, Stephen Hawking, research, coding; philosophy, NASA, innovation, Silicon Valley, puzzles; history, genius, scholarships, debate team, linguistics; literature, Mensa, analytical skills, Nobel Prize, experts; brain, education, GPA, honors classes, Bill Gates; thinking, reasoning, academia, laboratories, smartwatch."
intelligence,male,high school,What are the first five associations that come to a male high school-educated adult's mind when thinking of the cue 'intelligence'? Produce responses highly typical for a male high school-educated adult. Separate the responses by comma. Produce ten separate sets of five responses separated by semicolon.,"Smart, Genius, Einstein, IQ, Brainpower; Education, Schools, Books, Knowledge, Wisdom; Clever, Quick-thinking, Problem-solving, Analytical, Strategic; Tech, Computers, Coding, Artificial Intelligence, Innovation; Science, Mathematics, Physics, Chemistry, Biology; Intelligence tests, IQ scores, Mensa, Gifted, Smarty-pants; Stephen Hawking, Tesla, Bill Gates, Steve Jobs, Mark Zuckerberg; Chess, Strategy games, Puzzles, Rubik's Cube, Sudoku; Reading, Studying, Learning, Research, Curiosity; Spies, CIA, FBI, James Bond, Secret codes."
